# Goxel 0.10.5
# One line per voxel
# X Y Z RRGGBB
6 8 5 808080
7 8 5 808080
8 8 5 808080
9 8 5 808080
10 8 5 808080
11 8 5 808080
12 8 5 000000
14 8 5 ffffff
15 8 5 ffffff
4 9 5 000000
5 9 5 808080
6 9 5 808080
7 9 5 808080
8 9 5 808080
9 9 5 808080
10 9 5 808080
11 9 5 808080
12 9 5 000000
14 9 5 ffffff
15 9 5 ffffff
4 10 5 000000
5 10 5 000000
6 10 5 000000
7 10 5 000000
8 10 5 000000
9 10 5 000000
10 10 5 000000
11 10 5 000000
12 10 5 000000
1 5 6 ffffff
2 5 6 808080
1 6 6 ffffff
2 6 6 ffffff
1 7 6 808080
2 7 6 808080
4 7 6 ffffff
5 7 6 ffffff
6 7 6 ffffff
7 7 6 ffffff
8 7 6 ffffff
9 7 6 ffffff
10 7 6 ffffff
11 7 6 ffffff
12 7 6 ffffff
4 8 6 ffffff
5 8 6 808080
6 8 6 808080
7 8 6 808080
8 8 6 808080
9 8 6 808080
10 8 6 808080
11 8 6 808080
12 8 6 ffffff
14 8 6 808080
15 8 6 808080
4 9 6 ffffff
5 9 6 808080
6 9 6 808080
7 9 6 808080
8 9 6 808080
9 9 6 808080
10 9 6 808080
11 9 6 808080
12 9 6 ffffff
14 9 6 808080
15 9 6 808080
4 10 6 ffffff
5 10 6 ffffff
6 10 6 ffffff
7 10 6 ffffff
8 10 6 ffffff
9 10 6 ffffff
10 10 6 ffffff
11 10 6 ffffff
12 10 6 ffffff
5 11 6 ffffff
6 11 6 ffffff
7 11 6 ffffff
8 11 6 ffffff
9 11 6 ffffff
10 11 6 ffffff
11 11 6 ffffff
1 5 7 ffffff
2 5 7 808080
1 6 7 ffffff
2 6 7 ffffff
1 7 7 808080
2 7 7 808080
4 7 7 ffffff
5 7 7 ffffff
6 7 7 ffffff
7 7 7 ffffff
8 7 7 ffffff
9 7 7 ffffff
10 7 7 ffffff
11 7 7 ffffff
12 7 7 ffffff
1 8 7 ffffff
2 8 7 ffffff
3 8 7 000000
4 8 7 ffffff
5 8 7 ffffff
6 8 7 ffffff
7 8 7 ffffff
8 8 7 ffffff
9 8 7 ffffff
10 8 7 ffffff
11 8 7 ffffff
12 8 7 ffffff
13 8 7 000000
14 8 7 ffffff
15 8 7 ffffff
2 9 7 ffffff
3 9 7 000000
4 9 7 ffffff
5 9 7 ffffff
6 9 7 ffffff
7 9 7 ffffff
8 9 7 ffffff
9 9 7 ffffff
10 9 7 ffffff
11 9 7 ffffff
12 9 7 ffffff
13 9 7 000000
14 9 7 ffffff
15 9 7 ffffff
4 10 7 ffffff
5 10 7 ffffff
6 10 7 ffffff
7 10 7 ffffff
8 10 7 ffffff
9 10 7 ffffff
10 10 7 ffffff
11 10 7 ffffff
12 10 7 ffffff
5 11 7 ffffff
6 11 7 ffffff
7 11 7 ffffff
8 11 7 ffffff
9 11 7 ffffff
10 11 7 ffffff
11 11 7 ffffff
4 7 8 808080
5 7 8 ffffff
6 7 8 ffffff
7 7 8 ffffff
8 7 8 ffffff
9 7 8 ffffff
10 7 8 ffffff
11 7 8 ffffff
12 7 8 808080
1 8 8 ffffff
2 8 8 ffffff
3 8 8 000000
4 8 8 ffffff
5 8 8 ffffff
6 8 8 ffffff
7 8 8 ffffff
8 8 8 ffffff
9 8 8 ffffff
10 8 8 ffffff
11 8 8 ffffff
12 8 8 ffffff
13 8 8 000000
14 8 8 ffffff
2 9 8 ffffff
3 9 8 000000
4 9 8 ffffff
5 9 8 ffffff
6 9 8 ffffff
7 9 8 ffffff
8 9 8 ffffff
9 9 8 ffffff
10 9 8 ffffff
11 9 8 ffffff
12 9 8 ffffff
13 9 8 000000
14 9 8 ffffff
4 10 8 808080
5 10 8 ffffff
6 10 8 ffffff
7 10 8 ffffff
8 10 8 ffffff
9 10 8 ffffff
10 10 8 ffffff
11 10 8 ffffff
12 10 8 808080
5 11 8 ffffff
6 11 8 ffffff
7 11 8 ffffff
8 11 8 ffffff
9 11 8 ffffff
10 11 8 ffffff
11 11 8 ffffff
7 8 9 808080
8 8 9 808080
9 8 9 808080
7 9 9 808080
8 9 9 808080
9 9 9 808080
5 6 10 000000
6 6 10 000000
7 6 10 000000
8 6 10 000000
9 6 10 000000
10 6 10 000000
11 6 10 000000
4 7 10 ffffff
5 7 10 000000
6 7 10 000000
7 7 10 000000
8 7 10 000000
9 7 10 000000
10 7 10 000000
11 7 10 000000
12 7 10 ffffff
4 8 10 ffffff
5 8 10 000000
6 8 10 000000
7 8 10 000000
8 8 10 000000
9 8 10 000000
10 8 10 000000
11 8 10 000000
12 8 10 ffffff
4 9 10 ffffff
5 9 10 000000
6 9 10 000000
7 9 10 000000
8 9 10 000000
9 9 10 000000
10 9 10 000000
11 9 10 000000
12 9 10 ffffff
4 10 10 808080
5 10 10 808080
6 10 10 000000
7 10 10 000000
8 10 10 000000
9 10 10 000000
10 10 10 000000
11 10 10 808080
12 10 10 808080
4 11 10 808080
5 11 10 808080
11 11 10 808080
12 11 10 808080
5 6 11 000000
6 6 11 ffffff
7 6 11 000000
8 6 11 000000
9 6 11 000000
10 6 11 ffffff
11 6 11 000000
4 7 11 ffffff
5 7 11 000000
6 7 11 ffffff
7 7 11 000000
8 7 11 000000
9 7 11 000000
10 7 11 ffffff
11 7 11 000000
12 7 11 ffffff
4 8 11 ffffff
5 8 11 000000
6 8 11 000000
7 8 11 000000
8 8 11 000000
9 8 11 000000
10 8 11 000000
11 8 11 000000
12 8 11 ffffff
4 9 11 ffffff
5 9 11 000000
6 9 11 000000
7 9 11 000000
8 9 11 000000
9 9 11 000000
10 9 11 000000
11 9 11 000000
12 9 11 ffffff
4 10 11 808080
5 10 11 000000
6 10 11 000000
7 10 11 808080
8 10 11 808080
9 10 11 808080
10 10 11 000000
11 10 11 000000
12 10 11 808080
4 11 11 808080
5 11 11 ffffff
6 11 11 ffffff
7 11 11 ffffff
8 11 11 ffffff
9 11 11 ffffff
10 11 11 ffffff
11 11 11 ffffff
12 11 11 808080
5 6 12 000000
6 6 12 000000
7 6 12 000000
8 6 12 000000
9 6 12 000000
10 6 12 000000
11 6 12 000000
4 7 12 ffffff
5 7 12 000000
6 7 12 000000
7 7 12 000000
8 7 12 000000
9 7 12 000000
10 7 12 000000
11 7 12 000000
12 7 12 ffffff
4 8 12 ffffff
5 8 12 000000
6 8 12 000000
7 8 12 000000
8 8 12 000000
9 8 12 000000
10 8 12 000000
11 8 12 000000
12 8 12 ffffff
4 9 12 ffffff
5 9 12 000000
6 9 12 000000
7 9 12 000000
8 9 12 000000
9 9 12 000000
10 9 12 000000
11 9 12 000000
12 9 12 ffffff
4 10 12 ffffff
5 10 12 000000
6 10 12 000000
7 10 12 000000
8 10 12 000000
9 10 12 000000
10 10 12 000000
11 10 12 000000
12 10 12 ffffff
4 11 12 808080
5 11 12 ffffff
6 11 12 ffffff
7 11 12 ffffff
8 11 12 ffffff
9 11 12 ffffff
10 11 12 ffffff
11 11 12 ffffff
12 11 12 808080
5 6 13 ffffff
6 6 13 ffffff
7 6 13 ffffff
8 6 13 ffffff
9 6 13 ffffff
10 6 13 ffffff
11 6 13 ffffff
5 7 13 ffffff
6 7 13 ffffff
7 7 13 ffffff
8 7 13 ffffff
9 7 13 ffffff
10 7 13 ffffff
11 7 13 ffffff
4 8 13 808080
5 8 13 ffffff
6 8 13 ffffff
7 8 13 ffffff
8 8 13 ffffff
9 8 13 ffffff
10 8 13 ffffff
11 8 13 ffffff
12 8 13 808080
4 9 13 808080
5 9 13 ffffff
6 9 13 ffffff
7 9 13 ffffff
8 9 13 ffffff
9 9 13 ffffff
10 9 13 ffffff
11 9 13 ffffff
12 9 13 808080
4 10 13 808080
5 10 13 ffffff
6 10 13 ffffff
7 10 13 ffffff
8 10 13 ffffff
9 10 13 ffffff
10 10 13 ffffff
11 10 13 ffffff
12 10 13 808080
6 8 14 ffffff
7 8 14 808080
9 8 14 808080
10 8 14 ffffff
6 9 14 808080
7 9 14 808080
9 9 14 808080
10 9 14 808080
5 8 15 ffffff
6 8 15 808080
10 8 15 808080
11 8 15 ffffff
5 9 15 808080
6 9 15 808080
10 9 15 808080
11 9 15 808080
